article,timestamp,views
Bishop_Briggs,2023051100,26074
Bishop_Briggs,2023051200,8933
Bishop_Briggs,2023051300,5058
Bishop_Briggs,2023051400,3417
Bishop_Briggs,2023051500,2661
Bishop_Briggs,2023051600,2262
Bishop_Briggs,2023051700,2513
Bishop_Briggs,2023051800,218608
Superstar_Billy_Graham,2023051100,1275
Superstar_Billy_Graham,2023051200,1137
Superstar_Billy_Graham,2023051300,836
Superstar_Billy_Graham,2023051400,897
Superstar_Billy_Graham,2023051500,11026
Superstar_Billy_Graham,2023051600,21002
Superstar_Billy_Graham,2023051700,9074
Superstar_Billy_Graham,2023051800,147816
Jimmy_Butler,2023051100,29428
Jimmy_Butler,2023051200,16620
Jimmy_Butler,2023051300,48886
Jimmy_Butler,2023051400,23643
Jimmy_Butler,2023051500,38746
Jimmy_Butler,2023051600,24469
Jimmy_Butler,2023051700,21111
Jimmy_Butler,2023051800,132261
Killers_of_the_Flower_Moon_(film),2023051100,5837
Killers_of_the_Flower_Moon_(film),2023051200,5477
Killers_of_the_Flower_Moon_(film),2023051300,5556
Killers_of_the_Flower_Moon_(film),2023051400,6568
Killers_of_the_Flower_Moon_(film),2023051500,7503
Killers_of_the_Flower_Moon_(film),2023051600,18785
Killers_of_the_Flower_Moon_(film),2023051700,14938
Killers_of_the_Flower_Moon_(film),2023051800,166904
Anna_Nicole_Smith,2023051100,11156
Anna_Nicole_Smith,2023051200,10109
Anna_Nicole_Smith,2023051300,10923
Anna_Nicole_Smith,2023051400,29248
Anna_Nicole_Smith,2023051500,30889
Anna_Nicole_Smith,2023051600,202638
Anna_Nicole_Smith,2023051700,244244
Anna_Nicole_Smith,2023051800,185904
